Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,240.5,236.3,232.3,228.5,224.6,220.7,217,213.3,209.8,206.1,202.2,198.2,194.3,190.3,186.6,182.6,178.7,174.5,170.4,166.1,161.8,157.5,153.2,148.7,144.5,140.2,135.7,131.3,126.8,122.5,118.3,114.4,110.9,107.7,105,102.7,100.7,98.9,97.2,95.4,93.4,91.2,89,86.7,84.4,82.3,80.4,78.6,76.8,75.1,73.4,71.7,69.9,68.1,66.3
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,68.4,64,59.9,56.1,52.4,49.1,45.9,43.2,40.8,38.6,36.7,35.1,33.7,32.5,31.4,30.3,29.1,27.9,26.8,25.5,24.4,23.2,22.1,21,20,19.1,18.3,17.4,16.7,16,15.4,14.8,14.3,13.8,13.3,12.9,12.5
Algeria,,,,,150.4,149.9,149.5,149,148.8,148.4,148.2,148.1,148.2,148.4,148.7,149.1,149.3,149.2,148.7,147.7,146,143.6,140.6,137,133,128.7,124,119,113.6,107.8,101.1,93.4,84.6,75,65.5,57.2,50.9,46.3,43.1,41,39.7,38.8,38.1,37.5,36.9,36.3,35.7,35.1,34.7,34.4,33.9,33.3,32.4,31.3,30.1,28.8,27.6,26.4,25.3,24.3,23.5,22.8,22.4,22.1,22,21.9
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7,6.5,6.1,5.6,5.2,5,4.6,4.3,4.1,3.9,3.7,3.5,3.3,3.2,3.1,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2.1
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3,137.5,136.8,136,135.3,134.9,134.4,134.1,133.8,133.6,133.5,133.5,133.5,133.4,133.2,132.8,132.3,131.5,130.6,129.5,128.3,126.9,125.5,124.1,122.8,121.2,119.4,117.1,114.7,112.2,109.6,106.8,104.1,101.4,98.8,96
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22.6,21.5,20.3,19.2,18,17.1,16.2,15.3,14.5,13.8,13,12.3,11.7,11,10.4,9.8,9.2,8.8,8.2,7.7,7.2,6.8,6.4,6.1,5.8
Argentina,,,,,,,,,,,,,,,,,,,,60,59.5,58.8,58,56.8,55.2,53.2,50.5,47.2,43.8,40.3,37.2,34.7,32.8,31.3,30.1,29,28.1,27.1,26.2,25.3,24.4,23.6,22.8,22.1,21.4,20.8,20.2,19.6,19.1,18.5,18,17.6,17.1,16.6,16,15.3,14.6,14.1,13.7,13.4,13,12.7,12.3,11.9,11.5,11.1
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,68.3,65.9,63.5,61.3,59.2,57.1,55.2,53.3,51.4,49.6,47.8,49.9,44.3,42.5,40.6,38.8,37,35.3,33.7,32.1,30.6,29.2,27.9,26.6,25.3,24.2,23,21.9,20.8,19.8,18.8,17.9,17,16.1,15.3,14.6,13.8,13.2,12.6
Australia,25,24.6,24.1,23.6,23,22.6,22.1,21.6,21.2,20.8,20.3,20,19.5,19.2,18.8,18.6,18.3,18.3,18.2,18.1,17.8,17.4,16.8,16.2,15.3,14.4,13.5,12.7,12,11.3,10.8,10.4,10.1,9.8,9.6,9.3,9.1,8.7,8.4,8,7.6,7.1,6.7,6.3,6,5.7,5.6,5.4,5.3,5.3,5.1,5,5,4.9,4.9,4.8,4.7,4.5,4.4,4.2,4.1,3.8,3.6,3.4,3.2,3
Austria,,,,,48.1,46.6,45.2,43.6,41.7,39.6,37.3,35,32.9,31.2,29.7,28.3,27.3,26.4,25.7,25.3,25,24.7,24.1,23,21.6,19.8,18.1,16.6,15.5,14.6,13.9,13.2,12.6,12,11.3,10.7,10,9.4,8.9,8.4,8,7.6,7.1,6.7,6.2,5.7,5.3,5,4.8,4.7,4.6,4.5,4.4,4.3,4.1,4,4,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3,2.9
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9,83.1,81.5,79.9,78.5,77.3,76.3,75.7,75.5,75.7,76,76.2,76.1,75.2,73.6,71.2,68.1,64.5,60.6,56.8,53.1,49.7,46.7,44,41.5,39.3,37.3,35.5,33.9,32.5,31.2,30,28.9,27.9
Bahamas,,,,,,,,,,,,,,,,,,,25,25.5,26,26.4,26.8,27.2,27.2,27.2,26.9,26.6,26.2,25.7,25.2,24.8,24.3,24,23.7,23.4,22.9,22.2,21.4,20.6,19.7,18.8,18,17.2,16.3,15.6,14.8,14.1,13.6,13.2,13,12.9,12.8,12.7,12.7,12.6,12.5,12.2,11.9,11.7,11.4,11.1,10.9,10.5,10.2,9.9
