factor,state,number
Infant Morality,United States,6
Infant Morality,Alabama,8.6
Infant Morality,Alaska,5.8
Infant Morality,Arizona,5.3
Infant Morality,Arkansas,7.9
Infant Morality,California,4.8
Infant Morality,Colorado,5.1
Infant Morality,Connecticut,4.8
Infant Morality,Delaware,6.4
Infant Morality,Florida,6.1
Infant Morality,Georgia,7
Infant Morality,Hawaii,6.4
Infant Morality,Idaho,5.6
Infant Morality,Illinois,6
Infant Morality,Indiana,7.2
Infant Morality,Iowa,4.3
Infant Morality,Kansas,6.5
Infant Morality,Kentucky,6.4
Infant Morality,Louisiana,8.7
Infant Morality,Maine,7.1
Infant Morality,Maryland,6.6
Infant Morality,Massachusetts,4.2
Infant Morality,Michigan,7.1
Infant Morality,Minnesota,5.1
Infant Morality,Mississippi,9.6
Infant Morality,Missouri,6.5
Infant Morality,Montana,5.6
Infant Morality,Nebraska,5.2
Infant Morality,Nevada,5.3
Infant Morality,New Hampshire,5.6
Infant Morality,New Jersey,4.5
Infant Morality,New Mexico,5.3
Infant Morality,New York,4.9
Infant Morality,North Carolina,7
Infant Morality,North Dakota,6
Infant Morality,Ohio,7.3
Infant Morality,Oklahoma,6.7
Infant Morality,Oregon,4.9
Infant Morality,Pennsylvania,6.7
Infant Morality,Rhode Island,6.5
Infant Morality,South Carolina,6.9
Infant Morality,South Dakota,6.5
Infant Morality,Tennessee,6.8
Infant Morality,Texas,5.8
Infant Morality,Utah,5.2
Infant Morality,Vermont,4.4
Infant Morality,Virginia,6.2
Infant Morality,Washington,4.5
Infant Morality,West Virginia,7.6
Infant Morality,Wisconsin,6.3
Infant Morality,Wyoming,4.8
Abortion Rate,United States,
Abortion Rate,Alabama,9.9
Abortion Rate,Alaska,11.2
Abortion Rate,Arizona,11.3
Abortion Rate,Arkansas,7.1
Abortion Rate,California,
Abortion Rate,Colorado,10.1
Abortion Rate,Connecticut,18.4
Abortion Rate,Delaware,21.2
Abortion Rate,Florida,21.6
Abortion Rate,Georgia,15.8
Abortion Rate,Hawaii,10.1
Abortion Rate,Idaho,4.7
Abortion Rate,Illinois,15.8
Abortion Rate,Indiana,7.1
Abortion Rate,Iowa,8.3
Abortion Rate,Kansas,14
Abortion Rate,Kentucky,4.6
Abortion Rate,Louisiana,9.6
Abortion Rate,Maine,7.4
Abortion Rate,Maryland,
Abortion Rate,Massachusetts,15.4
Abortion Rate,Michigan,12.3
Abortion Rate,Minnesota,10.6
Abortion Rate,Mississippi,3.7
Abortion Rate,Missouri,4.9
Abortion Rate,Montana,11.9
Abortion Rate,Nebraska,6.6
Abortion Rate,Nevada,13.1
Abortion Rate,New Hampshire,
Abortion Rate,New Jersey,15.42
Abortion Rate,New Mexico,10.2
Abortion Rate,New York,27.6
Abortion Rate,North Carolina,13.4
Abortion Rate,North Dakota,9.5
Abortion Rate,Ohio,11.2
Abortion Rate,Oklahoma,7.3
Abortion Rate,Oregon,12.6
Abortion Rate,Pennsylvania,14.9
Abortion Rate,Rhode Island,19.6
Abortion Rate,South Carolina,6.9
Abortion Rate,South Dakota,3.9
Abortion Rate,Tennessee,12.6
Abortion Rate,Texas,13.4
Abortion Rate,Utah,5.5
Abortion Rate,Vermont,11.5
Abortion Rate,Virginia,15.3
Abortion Rate,Washington,14.8
Abortion Rate,West Virginia,5.4
Abortion Rate,Wisconsin,6.6
Abortion Rate,Wyoming,
Preterm Birth Rate,United States,0.114
Preterm Birth Rate,Alabama,0.151
Preterm Birth Rate,Alaska,0.1
Preterm Birth Rate,Arizona,0.116
Preterm Birth Rate,Arkansas,0.127
Preterm Birth Rate,California,0.088
Preterm Birth Rate,Colorado,0.103
Preterm Birth Rate,Connecticut,0.098
Preterm Birth Rate,Delaware,0.124
Preterm Birth Rate,Florida,0.136
Preterm Birth Rate,Georgia,0.127
Preterm Birth Rate,Hawaii,0.126
Preterm Birth Rate,Idaho,0.105
Preterm Birth Rate,Illinois,0.118
Preterm Birth Rate,Indiana,0.11
Preterm Birth Rate,Iowa,0.111
Preterm Birth Rate,Kansas,0.108
Preterm Birth Rate,Kentucky,0.126
Preterm Birth Rate,Louisiana,0.151
Preterm Birth Rate,Maine,0.093
Preterm Birth Rate,Maryland,0.119
Preterm Birth Rate,Massachusetts,0.1
Preterm Birth Rate,Michigan,0.117
Preterm Birth Rate,Minnesota,0.098
Preterm Birth Rate,Mississippi,0.166
